STATIONID,STATIONCODE,STATIONNAME
1,CSMT,Chatrapati Shivaji Maharaj Terminals
2,DR,Dadar
3,TNA,Thane
4,KYN,Kalyan
5,IGP,Igatpuri
6,DVL,Devali
7,NK, Nashik Road
8,NR,Niphad
9,SVL,Sevagarm Junction
10,MMR, Manmad Junction
11,NGN,Nandgaon
12,CSN, Chalisgaon Junction
13,PC, Pachora Junction
14,JL, Jalgaon Junction
15,BSL,Bhusaval Junction
16,MKU,Malkapur
17,NN,Nandura
18,SEG,Shegaon
19,AK,Akola Junction
20,MZR,Murtizapur Junction
21,BD,Badnera Junction
22,CND,Chandur
23,DMN,Dhamangaon
24,PLO,Pulgaon
25,WR,Wardha Junction
26,G,Gondia Junction
27,SNI,Sindi
28,AJNI,Ajni
29,NGP,Nagpur Junction
30,LTT,Mumbai LTT
31,KSRA,Kasara
32,BRD,Bhandara Road
33,TMR,Tumsar Road Junction
34,TRO,Tirora
35,AGN,Amgaon
36,SKS,Salekasa
37,DGG,Dongargarh
38,RJN,Raj Nandgaon
39,DURG,Durg Junction
40,BQR,Bhiliai Nagar
41,BPHB,Bhiliai Power House
42,BIA,Bhiliai
43,R,Raipur Junction
44,BYT,Bhatapara
45,BSP,Bilaspur Junction
46,CPH,Champa Junction
47,RIG,Raigarh
48,BPH,Belpahar
49,JSG,Jharsuguda Junction
50,ROU,Rourkela Junction
51,CKP,Chakradharpur
52,TATA,Tatanagar Junction
53,KGP,Kharagpur Junction
54,SRC,Santragachi Junciton
55,SHM,Shalimar
56,HWH,Howrah Juction
57,SKT,Sakti
58,KHS,Kharsia
59,BRJN,Brajrajnagar
60,BAU,Burhanpur
61,KATL,Katol
62,NRKR,Narkher Junction
63,PAR,Pandurna
64,MTY,Multai
65,AMLA,Amla
66,BZU,Betul
67,GDYA,Ghoradongri
68,ET,Itarsi Junction
69,NDPM,Narmadapuram
70,BPL,Bhopal
71,BHS,Vidisha
73,BAQ,Ganj Basoda
74,BINA,Bina Junction
75,LAR,Lalitpur Junction
76,VGLJ,VGL Jhansi Junction
77,DAA,Datia
78,GWL,Gawalior Junction
79,AGC,Agra Cantt
80,MTJ,Mathura Junction
81,NZM,Hazrat Nizamuddin
82,NDLS,New Delhi
83,KNW,Khandwa Junction
84,KKN,Khirkiya
85,HD,Harda
86,RKMP,Rani Kamalapati
87,HGT,Hinganghat
88,CDAE,Chandrapur
89,BPQ,Balharshah
90,MAS,MGR Chennai Central
91,BZA,Vijayawada Junction
92,KP,Kamptee
93,WL,Warangal
94,VSKP,Visakhapatnam Junction
95,SKZR,Sirpur Kagahaznagar
96,RDM,Ramagundam
97,KZJ,Kazipet Junction
98,SC,Secunderabad Juncion
99,HYB,Hyderabad Deccan Namapally
100,TVC,Thiruvananthapuram central
101,SBC,KSR Bengaluru City Junction
102,LS,Lasalgaon
